datetime,air_pressure,air_temperature,relative_humidity,wind_speed,solar_irridiation,electricity_demand_values
12/1/2010 0:00,729.7,25,85,5,0,289.5675565
12/1/2010 1:00,729.4,27.8,77,7,0,260.1685203
12/1/2010 2:00,728.9,33.3,62,7,0,247.2735849
12/1/2010 3:00,731.6,32.2,62,2,0,257.9558777
12/1/2010 4:00,732.6,22.8,96,3,0,258.2550812
12/1/2010 5:00,732.6,24.4,97,3,0,277.5774811
12/1/2010 6:00,731.6,30,63,4,0,337.4235034
12/1/2010 7:00,734.8,26.1,85,2,582,436.8706332
12/1/2010 8:00,733.6,22.8,100,3,348,426.7612808
12/1/2010 9:00,732.8,23.3,100,2,338,337.8045938
12/1/2010 10:00,731.8,27.2,82,2,626,312.6359362
12/1/2010 11:00,733.1,30,70,6,573,281.6173953
12/1/2010 12:00,732.4,22.8,100,4,546,257.7538837
12/1/2010 13:00,731.8,22.8,96,3,603,240.3376889
12/1/2010 14:00,729.9,32.2,56,4,406,231.5101002
12/1/2010 15:00,732.1,31.7,57,5,599,252.0345536
12/1/2010 16:00,732.4,25,90,3,556,329.0286003
12/1/2010 17:00,731.6,26.1,82,3,375,488.6252909
12/1/2010 18:00,730.9,31.7,59,4,685,588.6959924
12/1/2010 19:00,733.1,32.8,52,5,167,599.3185469
12/1/2010 20:00,732.8,21.7,94,5,0,562.0452064
12/1/2010 21:00,733.1,25.6,82,3,0,515.1230003
12/1/2010 22:00,732.1,35,44,5,0,425.7774845
12/1/2010 23:00,734.3,34.4,49,2,0,335.6904185
12/2/2010 0:00,734.3,21.7,96,2,0,245.2486088
12/2/2010 1:00,733.6,23.9,90,3,0,206.9296041
12/2/2010 2:00,732.1,33.3,51,5,0,191.5407723
12/2/2010 3:00,733.3,33.3,54,3,0,190.6538575
12/2/2010 4:00,732.4,22.8,100,3,0,187.2162127
12/2/2010 5:00,731.4,26.7,90,4,0,199.8310575
12/2/2010 6:00,728.6,32.8,61,5,0,259.1922637
12/2/2010 7:00,729.9,33.9,60,9,490,355.9502908
12/2/2010 8:00,729.1,23.9,90,4,660,336.6211846
12/2/2010 9:00,726.7,33.9,60,9,487,271.0201341
12/1/2010 0:00,728.4,33.9,58,8,531,273.425898
12/1/2010 1:00,728.6,22.8,96,0,438,270.8190044
12/1/2010 2:00,727.4,27.8,69,8,692,267.473612
12/1/2010 3:00,725.9,32.8,56,11,538,258.7977112
12/1/2010 4:00,727.6,32.8,59,10,341,259.0719876
12/1/2010 5:00,727.4,25,88,7,623,269.2680719
12/1/2010 6:00,726.7,26.7,71,10,581,342.6875568
12/1/2010 7:00,725.7,30,61,10,693,482.7582319
12/1/2010 8:00,727.9,31.1,63,11,363,583.3557618
12/1/2010 9:00,728.9,24.4,85,7,89,592.7941208
12/1/2010 10:00,729.4,25.6,69,6,0,556.6295615
12/1/2010 11:00,729.1,31.7,53,10,0,516.2721548
12/1/2010 12:00,732.8,31.1,55,8,0,439.0503338
12/1/2010 13:00,732.8,22.2,87,6,0,354.2624053
12/1/2010 14:00,733.3,25.6,67,7,0,269.3906463
12/1/2010 15:00,732.1,32.2,50,7,0,236.6710778
12/1/2010 16:00,734.3,32.2,56,7,0,224.9565902
12/1/2010 17:00,734.1,21.7,100,4,0,226.2882834
12/1/2010 18:00,734.1,23.3,88,0,0,227.7795739
12/1/2010 19:00,732.1,31.7,50,5,0,241.4505117
12/3/2010 6:00,734.3,31.1,54,5,0,302.161772
12/3/2010 7:00,733.3,20,90,2,527,405.1328732
12/3/2010 8:00,733.9,21.7,76,2,353,382.682304
12/3/2010 9:00,731.6,30,43,4,453,325.6580534
12/3/2010 10:00,733.9,29.4,42,5,455,325.9601697
12/3/2010 11:00,733.6,18.3,90,0,632,316.3515292
12/3/2010 12:00,734.5,20,87,2,382,313.6226045
12/3/2010 13:00,732.1,29.4,57,7,616,305.653728
12/3/2010 14:00,733.6,24.4,85,9,420,297.8994839
12/3/2010 15:00,732.4,20.6,100,3,415,310.8670286
12/3/2010 16:00,732.4,25,88,2,657,385.7464388
12/3/2010 17:00,731.4,31.1,54,6,341,523.5734578
12/3/2010 18:00,731.8,31.1,46,3,383,625.7943576
12/3/2010 19:00,730.9,20,84,6,109,618.7983181
12/3/2010 20:00,731.4,25,85,10,0,578.5521422
12/3/2010 21:00,728.6,28.9,61,8,0,528.799954
12/3/2010 22:00,732.4,23.3,76,5,0,438.6117228
12/3/2010 23:00,732.4,21.1,87,4,0,346.4924072
12/4/2010 0:00,732.1,25.6,76,5,0,277.2140505
12/4/2010 1:00,732.1,31.1,50,5,0,249.2671187
12/4/2010 2:00,734.5,27.2,57,4,0,248.9532251
12/4/2010 3:00,735.1,20,87,4,0,256.5590715
12/4/2010 4:00,736,18.9,100,5,0,255.537042
12/4/2010 5:00,734.3,20,90,8,0,275.4237139
12/4/2010 6:00,732.6,32.8,50,9,0,351.7512004
12/4/2010 7:00,732.4,25,71,7,653,440.3278109
12/4/2010 8:00,731.6,27.2,54,8,587,430.0340518
12/4/2010 9:00,729.9,33.3,46,11,367,373.4159956
12/4/2010 10:00,731.4,32.8,49,7,456,362.5295833
12/4/2010 11:00,731.6,23.3,64,5,622,359.3756017
12/4/2010 12:00,732.4,26.7,49,8,681,355.1495518
12/4/2010 13:00,730.9,33.3,27,10,399,349.0632659
12/4/2010 14:00,734.1,33.3,24,8,512,351.665892
12/4/2010 15:00,734.8,21.1,76,5,690,375.2313843
12/4/2010 16:00,734.5,24.4,60,7,585,452.1517659
12/4/2010 17:00,733.9,32.8,35,8,600,604.1506228
12/4/2010 18:00,736.8,32.8,33,9,305,698.5406485
12/4/2010 19:00,737.5,21.7,81,2,66,705.6015164
12/4/2010 20:00,737.3,22.8,71,4,0,658.8543074
12/4/2010 21:00,736,32.8,35,7,0,617.8895924
12/4/2010 22:00,738.3,30.6,40,6,0,523.0727836
12/4/2010 23:00,738,18.3,73,2,0,441.3071939
12/5/2010 0:00,737,19.4,66,3,0,362.8899425
12/5/2010 1:00,735.6,31.7,31,6,0,327.8495301
12/5/2010 2:00,737.3,31.7,29,7,0,312.4966726
12/5/2010 3:00,737,18.9,81,4,0,308.2458334
12/5/2010 4:00,736,23.3,56,5,0,313.7126292
12/5/2010 5:00,734.8,32.2,28,6,0,324.2814123
12/5/2010 6:00,737.5,32.2,32,8,0,384.106397
12/5/2010 7:00,738.3,17.8,78,5,497,483.8014895
12/5/2010 8:00,738.7,20,68,4,670,458.2799904
12/5/2010 9:00,737.8,31.7,29,7,633,400.3793116
12/5/2010 10:00,742,31.1,29,6,556,401.3229387
12/5/2010 11:00,741.7,16.1,81,2,353,394.0005167
12/5/2010 12:00,741.4,20.6,53,2,411,380.8783696
12/5/2010 13:00,739.5,31.7,24,7,392,378.7079357
12/5/2010 14:00,742,31.1,25,5,684,371.9701442
12/5/2010 15:00,741,17.2,58,0,321,390.8768958
12/5/2010 16:00,739,18.3,52,4,376,463.9365297
12/5/2010 17:00,737,30.6,21,4,585,613.914717
12/5/2010 18:00,738,28.9,22,10,526,705.1059809
12/5/2010 19:00,736.8,15.6,53,6,254,706.9848071
12/5/2010 20:00,735.1,16.7,46,3,0,656.9073245
12/5/2010 21:00,730.6,27.2,24,14,0,609.3706185
12/5/2010 22:00,728.2,29.4,24,11,0,517.2855857
12/5/2010 23:00,723.7,26.7,56,8,0,426.9712879
12/6/2010 0:00,724,26.1,69,5,0,336.9785427
12/6/2010 1:00,724.2,33.9,37,4,0,300.6161494
12/6/2010 2:00,727.4,32.8,49,3,0,286.1033115
12/6/2010 3:00,727.9,21.7,90,0,0,281.2780271
12/6/2010 4:00,728.6,23.3,82,3,0,276.456598
12/6/2010 5:00,728.2,32.2,45,5,0,290.5524739
12/6/2010 6:00,730.4,31.7,50,6,0,350.306085
12/6/2010 7:00,731.1,21.7,96,2,644,452.4969077
12/6/2010 8:00,731.4,24.4,79,4,537,429.352494
12/6/2010 9:00,730.6,33.3,44,6,511,355.9311377
12/6/2010 10:00,733.1,33.3,46,,588,333.8179902
12/6/2010 11:00,733.6,21.7,94,0,677,313.0976659
12/6/2010 12:00,732.8,26.1,74,5,617,290.2152877
12/6/2010 13:00,731.4,33.9,46,6,660,274.6506762
12/6/2010 14:00,732.6,34.4,48,6,474,266.2431164
12/6/2010 15:00,731.4,21.7,87,6,462,282.605418
12/6/2010 16:00,731.1,21.7,81,7,675,359.8963295
12/6/2010 17:00,728.6,33.3,47,6,476,525.1241621
12/6/2010 18:00,730.4,34.4,44,6,347,625.6812783
12/6/2010 19:00,729.9,23.3,85,6,236,634.0356339
12/6/2010 20:00,731.1,25,77,4,0,593.2359788
12/6/2010 21:00,729.9,32.8,45,6,0,549.0548593
12/6/2010 22:00,733.1,32.2,52,3,0,463.4850972
12/6/2010 23:00,734.1,21.7,90,3,0,388.6958133
12/7/2010 0:00,735.1,23.9,74,5,0,311.6328858
12/7/2010 1:00,733.6,30,49,6,0,281.1764893
12/7/2010 2:00,735.8,30,48,7,0,270.2690176
12/7/2010 3:00,736,20.6,87,4,0,270.1007419
12/7/2010 4:00,736.6,21.1,84,3,0,269.0413283
12/7/2010 5:00,735.6,28.3,49,6,0,285.7308804
12/7/2010 6:00,738,27.2,54,5,0,363.9869037
12/7/2010 7:00,738,18.3,87,2,537,452.2443904
12/7/2010 8:00,737.8,18.9,81,3,675,443.5480619
12/7/2010 9:00,736.8,28.3,43,5,350,376.0857273
12/7/2010 10:00,738.5,28.3,43,4,542,371.80015
12/7/2010 11:00,738.5,16.1,90,2,394,350.8577449
12/7/2010 12:00,738,20,70,2,436,335.1568676
12/7/2010 13:00,736,28.9,33,7,444,317.0157466
12/7/2010 14:00,738.7,27.8,40,0,643,307.2932544
12/7/2010 15:00,739.3,17.2,93,3,663,319.1038519
12/7/2010 16:00,738.5,21.1,68,0,564,399.0218797
12/7/2010 17:00,737.5,30,35,4,683,558.6633579
12/7/2010 18:00,738.7,28.3,40,2,642,662.6400465
12/7/2010 19:00,739,16.7,93,3,262,677.796349
12/7/2010 20:00,737.5,18.9,87,3,0,640.4703336
12/7/2010 21:00,734.3,28.3,44,8,0,596.147596
12/7/2010 22:00,735.1,27.8,44,4,0,508.6212875
12/7/2010 23:00,733.3,17.8,93,3,0,422.6560202
12/8/2010 0:00,731.8,19.4,81,2,0,333.6264962
12/8/2010 1:00,730.4,27.8,38,3,0,292.7893899
12/8/2010 2:00,731.8,27.8,37,2,0,281.6378603
12/8/2010 3:00,731.8,14.4,97,2,0,279.949422
12/8/2010 4:00,732.1,15.6,96,2,0,279.1190183
12/8/2010 5:00,731.4,25.6,40,4,0,292.8453653
12/8/2010 6:00,732.8,22.8,55,5,0,352.5943969
12/8/2010 7:00,732.6,16.1,84,5,664,443.1638154
12/8/2010 8:00,732.1,16.7,80,5,601,427.1935264
12/8/2010 9:00,730.4,22.2,68,7,478,354.8270242
12/8/2010 10:00,730.9,19.4,91,3,606,329.5048618
12/8/2010 11:00,730.1,17.8,93,3,340,306.5023661
12/8/2010 12:00,731.1,18.3,90,7,506,288.984644
12/8/2010 13:00,727.6,24.4,56,11,541,276.0344573
12/8/2010 14:00,730.1,28.3,63,11,445,279.2464704
12/8/2010 15:00,730.4,18.9,90,4,584,307.7971596
12/8/2010 16:00,731.4,18.9,90,7,467,386.9066079
12/8/2010 17:00,727.6,29.4,59,7,436,541.9172817
12/8/2010 18:00,730.9,29.4,51,11,560,642.5342837
12/8/2010 19:00,730.4,19.4,76,8,179,648.6269311
12/8/2010 20:00,728.6,19.4,91,8,0,602.8395085
12/8/2010 21:00,725.9,29.4,63,11,0,554.0003987
12/8/2010 22:00,730.1,28.9,53,7,0,463.7662905
12/8/2010 23:00,728.4,20.6,81,5,0,372.0966411
12/9/2010 0:00,728.4,24.4,85,5,0,285.7144627
12/9/2010 1:00,727.6,29.4,55,7,0,249.1261909
12/9/2010 2:00,730.1,26.7,67,6,0,234.671671
12/9/2010 3:00,729.1,18.9,96,3,0,232.6267539
12/9/2010 4:00,730.9,20.6,84,4,0,231.1554256
12/9/2010 5:00,728.9,24.4,69,7,0,245.9673089
12/9/2010 6:00,731.6,23.9,69,7,0,308.5577298
12/9/2010 7:00,730.6,18.3,81,5,335,411.1374217
12/9/2010 8:00,730.4,20.6,76,5,454,387.6607616
12/9/2010 9:00,728.9,28.3,57,7,563,327.0569367
12/9/2010 10:00,730.4,27.8,56,6,453,324.9712353
12/9/2010 11:00,730.1,18.9,84,5,682,318.6134329
12/9/2010 12:00,730.4,21.7,76,6,582,308.5063419
12/9/2010 13:00,729.9,31.1,48,5,487,298.9661644
12/9/2010 14:00,732.8,29.4,43,5,422,283.237693
12/9/2010 15:00,733.3,16.7,86,2,361,289.0425308
12/9/2010 16:00,732.6,18.9,73,3,576,361.1735422
12/9/2010 17:00,732.4,28.3,36,4,610,511.5583117
12/9/2010 18:00,734.5,26.1,47,5,589,613.592638
12/9/2010 19:00,732.8,16.7,93,5,213,616.9692314
12/9/2010 20:00,731.6,18.3,93,4,0,572.682698
12/9/2010 21:00,729.9,19.4,93,3,0,525.1825356
12/9/2010 22:00,732.1,18.3,93,4,0,435.8215024
12/9/2010 23:00,729.9,16.7,96,4,0,348.5643425
12/10/2010 0:00,730.6,16.7,93,5,0,261.4384518
12/10/2010 1:00,728.2,22.2,76,16,0,226.2227774
12/10/2010 2:00,729.1,31.7,55,9,0,214.3712593
12/10/2010 3:00,728.9,21.1,90,4,0,212.4370891
12/10/2010 4:00,728.4,25,69,9,0,209.6345863
12/10/2010 5:00,727.6,31.7,45,9,0,220.6333341
12/10/2010 6:00,730.4,29.4,53,8,0,283.0094054
12/10/2010 7:00,731.4,16.1,97,3,615,386.4488966
12/10/2010 8:00,733.1,17.8,90,7,462,388.617018
12/10/2010 9:00,727.9,28.9,53,11,651,330.2287989
12/10/2010 10:00,732.1,23.9,71,7,549,309.7949116
12/10/2010 11:00,732.4,18.3,93,4,472,300.6839603
12/10/2010 12:00,732.6,16.1,100,5,670,272.396159
12/10/2010 13:00,732.8,18.9,73,7,597,256.0785801
12/10/2010 14:00,734.8,18.3,81,4,450,249.9962975
12/10/2010 15:00,733.3,14.4,97,4,563,266.8594116
12/10/2010 16:00,733.9,19.4,53,5,518,335.4186108
12/10/2010 17:00,734.3,24.4,39,7,563,495.5032476
12/10/2010 18:00,739,22.2,41,7,644,599.8687249
12/10/2010 19:00,741,9.4,74,2,144,608.155763
12/10/2010 20:00,740.5,10,86,3,0,567.3385768
12/10/2010 21:00,739.3,13.9,67,4,0,521.6769332
12/10/2010 22:00,737,22.8,34,4,0,440.5421436
12/10/2010 23:00,739.5,23.9,34,4,0,351.3464826
12/11/2010 0:00,740.2,6.7,79,2,0,270.1421245
12/11/2010 1:00,740.8,8.9,71,3,0,243.201147
12/11/2010 2:00,738.5,19.4,36,10,0,234.1451973
12/11/2010 3:00,739.7,19.4,44,13,0,235.0753459
12/11/2010 4:00,734.1,16.1,84,10,0,243.5207839
12/11/2010 5:00,728.2,27.8,41,5,0,267.3365161
12/11/2010 6:00,732.8,27.2,33,12,0,342.6515452
12/11/2010 7:00,736.3,10.6,83,3,300,433.6413344
12/11/2010 8:00,738,15.6,60,5,537,425.8352065
12/11/2010 9:00,737.3,25.6,33,7,342,363.6807928
12/11/2010 10:00,740.2,26.7,23,4,610,361.4398285
12/11/2010 11:00,739.5,12.8,62,2,512,346.0784309
12/11/2010 12:00,739,13.9,62,3,382,333.2246899
12/11/2010 13:00,737.3,24.4,24,6,433,326.4362791
12/11/2010 14:00,738.7,23.9,29,7,516,307.0388996
12/11/2010 15:00,736.6,17.8,60,10,367,317.2529885
