datetime,name,Total_Load,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
1/1/2016 0:00,eastern kentucky,1546,0.6,-1.5,-0.9,89.35,0,0,,0,0,,6.7,292,1025,100,14.3,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 1:00,eastern kentucky,1485,0.6,0.6,-0.9,90.06,0,0,,0,0,38.9,4.5,306,1023.5,100,14.3,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 2:00,eastern kentucky,1482,0.4,-2.1,-1.3,88.79,0,0,,0,0,,7.4,269,1024.6,100,14.6,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 3:00,eastern kentucky,1438,0.1,-2.8,-1.4,89.96,0,0,,0,0,,8.7,294,1024.6,100,14.6,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 4:00,eastern kentucky,1464,-0.1,-3.2,-1.6,89.55,0,0,,0,0,,9.2,280,1024.7,100,15.6,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 5:00,eastern kentucky,1446,-0.3,-3.3,-1.8,89.63,0,0,,0,0,,9,285,1024.7,100,16,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 6:00,eastern kentucky,1487,-0.4,-3.8,-2,89.07,0,0,,0,0,,10.3,281,1024.9,100,16,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 7:00,eastern kentucky,1519,-0.3,-3.5,-1.9,89.36,0,0,,0,0,,9.2,268,1025.6,100,16,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 8:00,eastern kentucky,1563,-0.6,-0.6,-2.4,87.63,0,0,,0,0,,4.6,234,1025.7,100,16,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 9:00,eastern kentucky,1616,-0.4,-3.1,-2.6,85.19,0,0,,0,0,,7.6,256,1026.3,98.5,16,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 10:00,eastern kentucky,1636,-0.1,-2.3,-2.5,84.07,0,0,,0,0,,6.3,248,1025.9,100,16,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 11:00,eastern kentucky,1642,0.3,-1.8,-2.7,80.22,0,0,,0,0,,6.5,246,1025.6,98.5,16,,,,,Overcast,cloudy,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 12:00,eastern kentucky,1608,0.7,-2.1,-3,76.55,0,0,,0,0,,8.4,251,1024.9,86.2,16,,,,,Partially cloudy,partly-cloudy-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 13:00,eastern kentucky,1541,1.4,-1.1,-3.2,71.18,0,0,,0,0,,8.2,251,1024.1,64,16,,,,,Partially cloudy,partly-cloudy-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 14:00,eastern kentucky,1462,2.4,0.1,-3.4,65.68,0,0,,0,0,,8.1,246,1023.3,37.4,16,,,,,Partially cloudy,partly-cloudy-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 15:00,eastern kentucky,1397,3.1,0.6,-3.9,60.19,0,0,,0,0,,9,242,1022.9,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 16:00,eastern kentucky,1364,3.2,1.6,-4.6,56.62,0,0,,0,0,,6.3,259,1022.9,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 17:00,eastern kentucky,1387,2.1,2.1,-4.9,59.59,0,0,,0,0,,3.9,225,1023.2,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 18:00,eastern kentucky,1536,1.1,1.1,-5.2,62.81,0,0,,0,0,,0.9,328,1023.8,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 19:00,eastern kentucky,1668,0.7,0.7,-5.5,63.17,0,0,,0,0,,0.9,328,1023.9,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 20:00,eastern kentucky,1694,0.2,-1.8,-5.5,65.71,0,0,,0,0,,5.9,232,1024,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 21:00,eastern kentucky,1716,-0.2,-2.5,-5.2,68.71,0,0,,0,0,,6.9,232,1024.4,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 22:00,eastern kentucky,1699,-0.5,-2.7,-5,71.67,0,0,,0,0,,6.1,222,1024.7,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/1/2016 23:00,eastern kentucky,1685,-0.9,-0.9,-4.9,74.16,0,0,,0,0,,4.1,274,1024.5,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 0:00,eastern kentucky,1631,-1.2,-4.1,-5,75.22,0,0,,0,0,,8,227,1024.5,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 1:00,eastern kentucky,1611,-1.3,-4,-5.2,74.74,0,0,,0,0,,7.4,238,1024.3,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 2:00,eastern kentucky,1593,-1.5,-4.2,-5.2,75.62,0,0,,0,0,,7.4,236,1024.6,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 3:00,eastern kentucky,1605,-1.8,-4,-5.4,76.66,0,0,,0,0,,5.8,234,1024.4,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 4:00,eastern kentucky,1648,-2.1,-2.1,-5.4,77.9,0,0,,0,0,,4,235,1024.3,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 5:00,eastern kentucky,1648,-2.5,-2.5,-5.4,80.37,0,0,,0,0,,1.4,310,1024,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 6:00,eastern kentucky,1709,-2.8,-2.8,-5.2,83.37,0,0,,0,0,,1.5,300,1024.3,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 7:00,eastern kentucky,1847,-3,-3,-5.3,84.13,0,0,,0,0,,1.4,295,1024.3,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 8:00,eastern kentucky,1909,-2.6,-4.9,-5.2,82.25,0,0,,0,0,,5.8,195,1024.6,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 9:00,eastern kentucky,1952,-1.3,-4.7,-4.8,76.93,0,0,,0,0,,9.6,203,1024.9,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 10:00,eastern kentucky,1892,0,-3,-4.6,71.2,0,0,,0,0,,9,197,1025.3,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 11:00,eastern kentucky,1800,2,-0.7,-4.7,61.04,0,0,,0,0,,9.4,202,1024.5,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 12:00,eastern kentucky,1677,3.7,1.2,-5,52.75,0,0,,0,0,,9.7,232,1022.9,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 13:00,eastern kentucky,1588,5.2,3.1,-5,47.83,0,0,,0,0,,9.3,225,1021.8,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 14:00,eastern kentucky,1517,5.7,3.1,-5.9,43.36,0,0,,0,0,28,11.6,233,1021.1,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 15:00,eastern kentucky,1456,6.4,5.3,-6.2,40.07,0,0,,0,0,,6.2,234,1020.4,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 16:00,eastern kentucky,1441,6.1,6.1,-6.7,39.53,0,0,,0,0,,4,295,1020,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 17:00,eastern kentucky,1447,5,3.7,-7,41.42,0,0,,0,0,,6.2,231,1020,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 18:00,eastern kentucky,1583,3.6,1.5,-7.3,44.94,0,0,,0,0,,7.8,226,1020,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 19:00,eastern kentucky,1728,2.9,1.2,-7.3,46.93,0,0,,0,0,,6.6,222,1020,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 20:00,eastern kentucky,1748,2.2,0.5,-7.1,50.21,0,0,,0,0,,6.3,217,1019.9,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 21:00,eastern kentucky,1732,1.7,1.7,-6.8,53.26,0,0,,0,0,,2.7,335,1019.8,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 22:00,eastern kentucky,1746,1.8,1.8,-6.8,53.1,0,0,,0,0,,3.6,308,1019.8,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/2/2016 23:00,eastern kentucky,1757,1.2,1.2,-6.6,55.81,0,0,,0,0,,4.7,279,1019.6,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 0:00,eastern kentucky,1737,0.8,-1.3,-6.3,59.03,0,0,,0,0,,6.4,215,1019.4,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 1:00,eastern kentucky,1691,0.4,-1.5,-6.3,61.04,0,0,,0,0,,5.8,204,1018.9,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 2:00,eastern kentucky,1684,0.1,0.1,-6.1,62.98,0,0,,0,0,,4.6,204,1018.4,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 3:00,eastern kentucky,1662,0.2,0.2,-6,62.87,0,0,,0,0,,4.5,273,1018.2,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 4:00,eastern kentucky,1671,-0.1,-2.1,-6.1,64.23,0,0,,0,0,,5.9,213,1018.1,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 5:00,eastern kentucky,1690,0,0,-6,64.14,0,0,,0,0,,3.9,212,1017.9,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 6:00,eastern kentucky,1764,-0.3,-2.7,-5.9,65.61,0,0,,0,0,,6.9,204,1017.8,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 7:00,eastern kentucky,1783,-0.4,-2.5,-5.8,67.04,0,0,,0,0,,6.1,213,1018,0,16,,,,,Clear,clear-night,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 8:00,eastern kentucky,1869,-0.2,-2.3,-5.4,67.6,0,0,,0,0,,6.1,262,1017.7,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 9:00,eastern kentucky,1917,1.2,-1,-4.6,65.4,0,0,,0,0,,7,203,1017.6,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 10:00,eastern kentucky,1849,3,1,-3.8,61.12,0,0,,0,0,,7.5,203,1017.8,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 11:00,eastern kentucky,1723,4.9,2.7,-3.3,55.6,0,0,,0,0,,9.1,220,1017.4,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 12:00,eastern kentucky,1603,6.9,5.2,-3.7,46.98,0,0,,0,0,,8.7,244,1016.2,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 13:00,eastern kentucky,1530,7.7,5.4,-4.9,40.39,0,0,,0,0,27.7,13.1,227,1015.1,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 14:00,eastern kentucky,1481,8.3,6.6,-5.1,38.27,0,0,,0,0,25.9,10,245,1014.4,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 15:00,eastern kentucky,1414,8.7,6.8,-5.2,37.02,0,0,,0,0,,11.7,272,1014.2,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 16:00,eastern kentucky,1367,7.9,5.2,-5.8,37.3,0,0,,0,0,27.7,16.3,289,1014.8,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
1/3/2016 17:00,eastern kentucky,1465,6.2,3.9,-5.3,43.45,0,0,,0,0,,11.1,285,1015.4,0,16,,,,,Clear,clear-day,"KLNP,KJKL,72419003889,72411763802,KPBX,72046499999"
